2225070,"TrackMania 2: Stadium",10,15,22,0.48
2225070,"TrackMania Turbo",12,36,153,0.63
2225070,"TrackMania 2: Canyon",14,15,47,0.5
2225070,"TrackMania 2: Valley",13,14,17,0.5
2225070,"TrackMania United",8,41,58,0.59
2225070,"TrackMania Nations",16,18,23,0.56
2225070,"TrackMania DS",2,7,12,0.77
2225070,"Trackmania 2: Lagoon",11,12,20,0.5
2225070,"TrackMania Turbo - VR Experience",1,,2,0.31
2225070,"Trackmania Sunrise",7,8,34,0.56
2225070,"TrackMania: Build to Race",,,,0.4
925940,"Myst IV: Revelation",12,15,15,1
33320,"Prince of Persia: The Forgotten Sands",8,9,11,1
1089130,"Quake II",7,10,13,0.67
55110,"Red Faction: Armageddon",8,10,20,1
55110,"Red Faction: Armageddon - Path to War DLC",1,2,2,0.56
351510,"Quiplash",1,1,2,1
351510,"Quiplash 2 InterLASHional",2,2,,0.32
63500,"Swords & Soldiers HD: Super Saucy Sausage Fest DLC",2,2,,0.34
115110,"Stacking",4,6,9,1
115110,"Stacking: The Lost Hobo King DLC",1,1,1,0.25
13530,"Prince of Persia: The Two Thrones",10,10,12,1
31250,"Sam & Max 304: Beyond the Alley of the Dolls",3,3,3,1
9480,"Saints Row 2",20,29,51,1
9480,"Saints Row 2 - Corporate Warfare DLC",1,1,2,0.33
9480,"Saints Row 2 - Ultor Exposed DLC",1,1,1,0.38
8260,"Sam & Max 201: Ice Station Santa",3,3,3,1
828790,"Warhammer: Vermintide 2 - Shadows over Bögenhafen",1,,,1
3830,"Psychonauts",12,15,21,1
3830,"Psychonauts 2",15,20,27,0.85
3830,"Psychonauts in the Rhombus of Ruin",2,2,3,0.32
493540,"Figment",5,6,6,1
493540,"Figment 2: Creed Valley",4,4,8,0.3
493540,"Figment 2: Creed Valley - Prologue",,,,0.21
9450,"Warhammer 40,000: Dawn of War - Soulstorm",13,24,51,1
616560,"Ultimate Epic Battle Simulator",1,16,19,1
616560,"Ultimate Epic Battle Simulator 2",,,,0.94
8300,"Sam & Max 205: What's New, Beelzebub?",3,3,4,0.97
459220,"Halo Wars",9,12,46,0.31
2600,"Vampire: The Masquerade - Bloodlines",23,29,40,1
2600,"Vampire: The Masquerade - Bloodlines 2",,,,0.95
208110,"Paranormasight: The Seven Mysteries of Honjo",11,12,13,0.11
208110,"Riven: The Sequel to Myst",10,12,14,0.12
208110,"Frog Detective: The Entire Mystery",4,5,5,0.12
208110,"Myst IV: Revelation",12,15,15,0.32
208110,"Myst V: End of Ages",8,9,11,0.32
208110,"Dungeons & Dragons: Shadow over Mystara",1,1,2,0.1
208110,"Golden Idol Mysteries: The Lemurian Vampire",3,3,3,0.14
208110,"Kao the Kangaroo 3",3,4,4,0.11
208110,"Adventure Escape Mysteries",,,,0.15
208110,"Chocobo's Mystery Dungeon: Every Buddy!",30,49,98,0.15
208110,"London Detective Mysteria",10,33,41,0.16
208110,"New York Mysteries: High Voltage",5,6,7,0.19
208110,"Mystic Vale",,20,,0.55
208110,"River King: Mystic Valley",,,,0.24
208110,"May's Mysteries: The Secret of Dragonville",9,,16,0.14
208110,"Murder Mystery Adventure",2,,,0.25
